מס',כלל,הסבר הכלל,מקור,Ver,חסר
1,אביי ורבא,"רבה [בר נחמני] הוא רבו של אביי ורבא
אם רבא קודם אביי , נאמר שיש טעות גירסא",הליכות עולם,8,
2,אדרבה איפכא מסתברא,"בשימוש כשהקושיא היא רק מכח סברא החיצונה
בא כדי לחזק את קושייתם 
מסקנת הגמרא כמי שאומר 'אדרבה איפכא מסתברא'",,10,
3,אדרבה/אדרבא,"אין  דבר  רק  בהיפך \  אלו  דברים  ראוי  בהפך  אמירתם 
",,10,
4,או אינו אלא,הכוונה היא לקיים ולאמת את הפירוש הנאמר על ידי השערה חדשה,,10,
5,אחרים אומרים,"אחרים אומרים' רבי מאיר, 'ויש אומרים' רבי נתן
כשהיה רבי מאיר אומר דבריו בשם אלישע בן אבויה אז היו אומרים עליו 'אחרים אומרים'","של""ה",8,
6,אטו,"גזרינן היתרא אטו איסורא ,דוקא בדברים דומים שאנשים מחליפים ביניהם המתדמים ומיחלפי להו לאינשי למשרי האי כי האי",הליכות עולם,9,
7,אי איתא לדרב פלוני,ובאמת הלכה כר' פלוני ,כללי הגמרא ,8,
8,אי הכי,"אי אמרת בשלמא לדידי לא קשה, אני מקשה על הקושיא שלך (מסלק אוקימתא) והקושיא שלי בעינה עומדת",הליכות עולם ,7,
9,אי נמי,"אי נמי'  'ועוד', 'ואומר', 'וכתיב', הוא לחזק הדבר יותר","של""ה",8,
10,איבעיא להו,חכמים בני הישיבה שהיו נושאים ונותנים באותה הלכה ויצאה זו השאלה מביניהם,הליכות עולם ,8,
11,איבעית אימא,"איבעית אימא  ואיבעית אימא', יותר טוב התירוץ השני , ויש דוחק  מה בתירוץ הראשון
'ואיבעית אימא  ואיבעית אימא', שני התירוצים הם שווים",כללי שמואל ,8,
12,איידי,"שלא היה יכול לומר טעם אחר , צריך לומר 'איידי' ",כללי הגמרא ,8,
13,איידי דבעי למתני הך מילתא בסיפא תנייה נמי ברישא,אומרים כך אפילו שהרישא והסיפא נאמרו על ידי תנאים שונים ,יד מלאכי,8,
14,איידי דתנא ברישא תנא בסיפא,הביאו דברים מיותרים ברישא או בסיפא ברדך אגב,הליכות עולם,8,
15,איכא דאמרי,"רש""י: דאורייתא לחומרא, דרבנן לך אחר האחרון 
רבינו תם: דאורייתא לחומרא, דרבנן לקולא 
ריב""א: הראשון עיקר 
הליכות עולם: הלכה לפי האחרון","של""ה",8,
16,איכא דמתני לה אהא,"לישנא קמא כמו המשנה \ ברייתא 
לישנא אחרת כמו משנה אחרת ",יד מלאכי,11,
17,אילימא,"1.שני חלוקים ועליהם מקשה
2. אם לא הקשה על חלוק אחד, אז זה בא לבאר 

(הנחת יסוד שלא תתקבל )","של""ה",8,
18,אימא סיפא,"כשהגמרא מביאה ראיה מרישא דמתניתין ויש קושיא על דבריו מהסיפא.
אבל אם הקושיא היא על מימרא - אזי אומרים שאולי הוא לא ידע את הסיפא ",,10,
19,אין בין זה לזה אלא כך וכך,או לחומרא או לקולא,,,
20,אין הלכה כאותו הזוג,"אין הלכה כמותו, אבל אין זה אומר שהלכה כתנא קמא או כחכמים ",גופי הלכות ,11,
21,אין הלכה כאותו הזוג \ אין הלכה כפלוני ,"תנא קמא + רב פלוני + חכמים - אין הלכה כפלוני, והלכה כתנא קמא ולא כחכמים",גופי הלכות,9,
22,אין לך בו אלא חידושו,,,,אין הסבר
23,אין למדין מן הכללות,,,,אין הסבר
24,אין רוח חכמים נוחה הימנו,"הרבה פירושים נאמרו : אין נחת רוח לחכמי ישראל במעשיו של זה
יש לב""ד למנוע הדבר הזה ולקרותו עבריינא ",,11,
25,אינה משנה,"כל מקום שתמצא ב""ש מקילין וב""ה מחמירין וזה הפך המפורסם מסברתם לפיכך תדע שהמשנה מוטעית. חוץ מן המקומות הידועים שהם מקולי ב""ש ומחומרי ב""ה",יד מלאכי,8,
26,איני והא,"קושיא היא ובתמיה,  איני  (האל""ף בציר""י) וכי כך הוא והא אמר פלוני וכו'",הליכות עולם,8,
,אימר,הנחה שנדחתה,,14,
27,איפוך,"איפוך -  ההוא דפריך מחליף
אלא איפוך - ההוא דמייתי מחליף
מוחלפת השיטה - ההוא דמייתי מחליף
אלא מוחלפת השיטה -  ההוא דפריך מחליף","גופי הלכות (רא""ש)",11,
28,איפוך אנא,"""איפוך אנא"" היינו דיש הכרח לומר להיפך 
""ומה ראית"" הוא דאין הפרש בין זו לזו להכריע",קרבן אהרן,11,
29,איפכא מסתברא,"יותר מסברא איפכא, אבל לקושטא דמילתא גם זה לא נכון ",כללי הגמרא ,11,
30,איפכא שמעינן להו,,,,אין הסבר
31,איתיביה,"איתיבי : מחלוקת על היחיד
מיתיבי : מחלוקת על הרבים",מבוא התלמוד,7,
32,איתמר \ אתמר,פתיחה להבאת מחלוקת אמוראים,,8,
33,אל תקרי,"מ""מ לא יצא מידי פשוטו",יבין שמועה,11,
34,אלא,"שלשון אלא מורה שהתירוץ הראשון לעולם דחוי שכך משמע לא כך אלא כך
(לעולם - דחיה - אבל יש דרך לחזור)",הליכות עולם,11,
35,אלא אי איתמר הכי איתמר,"היכן שהקשו על מימריה דאמורא שלא בפניו 
אם הקשו ליה לאמורא פנים אל פנים אז יאמר 'אלא אמר ר""פ' ",יד מלאכי,8,
36,אלא איפוך,"איפוך -  ההוא דפריך מחליף
אלא איפוך - ההוא דמייתי מחליף","גופי הלכות (רא""ש)",11,
