daf,amud,entry_letter,local_letters,raw_text,text,url
2,a,א,א,"שורפין ודוקא מיי' פ""ג מהלכות מטמאי משכב ומושב הלכה ד ופ""ט דאוקמא מהלכות איסורי ביאה הלכה ג דברה""י טמא סמג לאוין קיא:","רמב""ם שורפין ודוקא רמב""ם פרק ג מהלכות מטמאי משכב ומושב הלכה ד
רמב""ם פרק ט דאוקמא מהלכות איסורי ביאה הלכה ג דברה""י טמא
סמג לאוין קיא","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%98%D7%9E%D7%90%D7%99_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%93
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%92
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%A7%D7%99%D7%90"
2,a,ב,ב,"מיי' פ""ט מהלכות איסורי )לקמן דף ג.( ביאה הלכה ד ופ""ג מהלכות אי משכב ומושב הלכה ה סמג שם:","רמב""ם פרק ט מהלכות איסורי )לקמן דף ג.( ביאה הלכה ד
רמב""ם פרק ג מהלכות אי משכב ומושב הלכה ה
סמג לאוין קיא","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%94
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%A7%D7%99%D7%90"
2,a,ג,ג,"אף מיי' פ""ג מהלכות משכב ומושב הלכ' ד:","רמב""ם אף רמב""ם פרק ג מהלכות משכב ומושב הלכה ד",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%92_%D7%93
2,a,ד,ד,"מיי' פ""ט מהלכות איסורי דלרבנן ביאה הלכה ג:","רמב""ם פרק ט מהלכות איסורי דלרבנן ביאה הלכה ג",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%93%D7%9C%D7%A8%D7%91%D7%A0%D7%9F_%D7%91%D7%99%D7%90%D7%94_%D7%98_%D7%92
2,b,ה,א,"י""ד סימן רא סעיף עא:","רמב""ם יורה דעה סימן רא סעיף עא",
2,b,ו,ב,הלכה כד:,"רמב""ם הלכה כד",
3,b,ז,ג ב א,"מיי' פי""ז מהל' אבות הטומאה הלכה ב:","רמב""ם פרק יז מהלכות אבות הטומאה הלכה ב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%96_%D7%91
3,b,ח,ה ד,מיי' שם הלכה,"רמב""ם פרק יז מהלכות אבות הטומאה הלכה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%96
4,a,ט,ד ג ב א,"וא""ת דבנגע באחד בלילה מיי' פי""ז מהלכות שאר אבות הטומאה הלכה ב:","רמב""ם וא""ת דבנגע באחד בלילה רמב""ם פרק יז מהלכות שאר אבות הטומאה הלכה ב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%96_%D7%91
4,a,י,ה,"מיי' שם פי""ח הלכ' יד:","רמב""ם פרק יח מהלכות שאר אבות הטומאה הלכה יד",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%99%D7%97_%D7%99%D7%93
